r,0.117550872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8726,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8727,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8728,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8729,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8731,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8733,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8734,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8735,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8736,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
8737,0,1,0.928815652,-0.073844997,,0.928815652,0.050928079,0.013273838,0.004370298,0.00158879,0.000610292,0.000242801,9.89764E-05,4.10747E-05,1.72806E-05,7.34918E-06,3.153E-06,1.36255E-06,5.92416E-07,2.58913E-07,1.13664E-07,5.00941E-08,2.21533E-08,9.82674E-09,4.37076E-09,1.94877E-09,8.70802E-10,3.8989E-10,1.74885E-10,7.85752E-11,3.53574E-11,1.59326E-11,7.18881E-12,3.24752E-12,1.4687E-12,1.21669E-12,,,
